id;name;age;app_user_id;chronotype;reading_type;attention_span;gender;reading_strategy
1;instructor;1292;8010;MORNING;INTENSIVE;LONG;MALE;SPACED_REPETITION
2;than bah cytokine;22806;747;MORNING;EXTENSIVE;LONG;FEMALE;SPACED_REPETITION
3;lazily;20260;20623;MORNING;EXTENSIVE;SHORT;FEMALE;SQ3R_METHOD
4;transplant;15034;30378;NIGHT;INTENSIVE;MEDIUM;FEMALE;ACTIVE_RECALL
5;whoa;9330;2782;NIGHT;INTENSIVE;LONG;MALE;POMODORO_TECHNIQUE
6;meanwhile branch;27824;14459;MORNING;EXTENSIVE;LONG;FEMALE;SPACED_REPETITION
7;nor more;23274;5221;MORNING;EXTENSIVE;SHORT;MALE;SQ3R_METHOD
8;phooey;29176;1947;NIGHT;EXTENSIVE;MEDIUM;MALE;ACTIVE_RECALL
9;gosh that whether;29261;764;NIGHT;EXTENSIVE;MEDIUM;MALE;POMODORO_TECHNIQUE
10;bulldozer digestive;29889;2349;MORNING;INTENSIVE;LONG;FEMALE;SPACED_REPETITION
